date,여행,코디,isPartial
2020-09-20,38,28,False
2020-09-27,42,29,False
2020-10-04,45,31,False
2020-10-11,44,27,False
2020-10-18,46,32,False
2020-10-25,45,31,False
2020-11-01,43,26,False
2020-11-08,46,30,False
2020-11-15,44,26,False
2020-11-22,40,26,False
2020-11-29,40,26,False
2020-12-06,39,25,False
2020-12-13,35,22,False
2020-12-20,36,23,False
2020-12-27,36,22,False
2021-01-03,32,23,False
2021-01-10,32,20,False
2021-01-17,35,23,False
2021-01-24,39,24,False
2021-01-31,38,25,False
2021-02-07,45,25,False
2021-02-14,41,25,False
2021-02-21,39,26,False
2021-02-28,34,24,False
2021-03-07,35,25,False
2021-03-14,36,26,False
2021-03-21,33,23,False
2021-03-28,37,24,False
2021-04-04,37,24,False
2021-04-11,36,23,False
2021-04-18,39,23,False
2021-04-25,38,23,False
2021-05-02,43,23,False
2021-05-09,37,22,False
2021-05-16,40,22,False
2021-05-23,41,21,False
2021-05-30,42,20,False
2021-06-06,44,20,False
2021-06-13,41,21,False
2021-06-20,46,22,False
2021-06-27,45,21,False
2021-07-04,42,21,False
2021-07-11,43,21,False
2021-07-18,40,20,False
2021-07-25,41,18,False
2021-08-01,45,18,False
2021-08-08,44,18,False
2021-08-15,39,18,False
2021-08-22,39,19,False
2021-08-29,38,19,False
2021-09-05,40,22,False
2021-09-12,42,21,False
2021-09-19,49,26,False
2021-09-26,48,24,False
2021-10-03,48,24,False
2021-10-10,46,25,False
2021-10-17,50,26,False
2021-10-24,51,25,False
2021-10-31,50,25,False
2021-11-07,50,27,False
2021-11-14,47,25,False
2021-11-21,48,25,False
2021-11-28,42,23,False
2021-12-05,41,23,False
2021-12-12,37,23,False
2021-12-19,38,24,False
2021-12-26,42,23,False
2022-01-02,43,25,False
2022-01-09,42,24,False
2022-01-16,42,22,False
2022-01-23,41,23,False
2022-01-30,46,26,False
2022-02-06,42,24,False
2022-02-13,45,26,False
2022-02-20,43,25,False
2022-02-27,44,27,False
2022-03-06,46,28,False
2022-03-13,48,26,False
2022-03-20,49,27,False
2022-03-27,53,30,False
2022-04-03,55,34,False
2022-04-10,51,34,False
2022-04-17,58,31,False
2022-04-24,59,30,False
2022-05-01,60,33,False
2022-05-08,58,29,False
2022-05-15,60,29,False
2022-05-22,63,28,False
2022-05-29,72,27,False
2022-06-05,66,23,False
2022-06-12,68,24,False
2022-06-19,60,27,False
2022-06-26,61,29,False
2022-07-03,62,28,False
2022-07-10,67,24,False
2022-07-17,65,25,False
2022-07-24,69,25,False
2022-07-31,66,25,False
2022-08-07,62,24,False
2022-08-14,61,23,False
2022-08-21,60,27,False
2022-08-28,59,29,False
2022-09-04,60,28,False
2022-09-11,66,29,False
2022-09-18,69,31,False
2022-09-25,70,30,False
2022-10-02,64,32,False
2022-10-09,67,31,False
2022-10-16,69,32,False
2022-10-23,66,30,False
2022-10-30,59,29,False
2022-11-06,66,28,False
2022-11-13,75,31,False
